央视,#genre#
热播精选,http://192.168.0.101:35455/rptv/n-xiqumd?license=cntv
精品大剧,http://192.168.0.101:35455/rptv/n-jdaju.m3u8?license=cntv
潮妈辣婆,http://192.168.0.101:35455/rptv/n-cmlapo?license=cntv
炫舞未来,http://192.168.0.101:35455/rptv/HD-4000k-1080P-xwwl.m3u8?license=gitv
哒啵赛事,http://192.168.0.101:35455/rptv/wmyx.m3u8?license=cntv
精品体育,http://192.168.0.101:35455/rptv/n-jtiyu.m3u8?license=gitvp=cntv
金牌综艺,http://192.168.0.101:35455/rptv/n-saishijx.m3u8?license=gitv
军事评论,http://192.168.0.101:35455/rptv/n-junshipl.m3u8?license=gitv
农业致富,http://192.168.0.101:35455/rptv/n-nongyezf.m3u8?license=gitv
精品纪录,http://192.168.0.101:35455/rptv/n-jingpinjl.m3u8?license=gitv
怡伴健康,http://192.168.0.101:35455/rptv/n-ljiankangyouyue.m3u8?license=cntv


数字,#genre#
纯享4K,http://192.168.0.101:35455/rptv/HD-20M-2160P-chunxiang4k.m3u8?license=gitv
高清臻享睛彩篮球,http://192.168.0.101:35455/rptv/miguaoyun01-AVS-4K01.m3u8?license=gitv
高清臻享睛彩竞技,http://192.168.0.101:35455/rptv/miguaoyun1-AVS.m3u8?license=gitv
高清臻享睛彩青少,http://192.168.0.101:35455/rptv/G_MIGUJCQS.m3u8?license=gitv
睛彩篮球,http://192.168.0.101:35455/rptv/HD-8000k-1080P-miguaoyun1.m3u8?license=gitv
睛彩竞技,http://192.168.0.101:35455/rptv/HD-8000k-1080P-miguaoyun2.m3u8?license=gitv
睛彩青少,http://192.168.0.101:35455/rptv/HD-8000k-1080P-quanminrl.m3u8?license=gitv
北京纪实科教,http://192.168.0.101:35455/rptv/HD-8000k-1080P-beijingjishi.m3u8?license=gitv
金鹰纪实,http://192.168.0.101:35455/rptv/SD-4000k-576P-jinyingjs?license=cntv
炫动卡通,http://192.168.0.101:35455/rptv/G_XUANDONG.m3u8?license=gitv
嘉佳卡通,http://192.168.0.101:35455/rptv/G_JIAJIA.m3u8?license=gitv
优漫卡通,http://192.168.0.101:35455/rptv/G_YOUMAN.m3u8?license=gitv
卡酷少儿,http://192.168.0.101:35455/rptv/G_KAKU.m3u8?license=gitv

古装剧场,http://192.168.0.101:35455/rptv/GITV-JS-51.m3u8?license=gitv
动作大电影,http://192.168.0.101:35455/rptv/GITV-JS-52.m3u8?license=gitv
军旅剧场,http://192.168.0.101:35455/rptv/GITV-JS-53.m3u8?license=gitv
家庭剧场,http://192.168.0.101:35455/rptv/GITV-JS-54.m3u8?license=gitv
惊悚悬疑,http://192.168.0.101:35455/rptv/GITV-JS-55.m3u8?license=gitv
热播精选,http://192.168.0.101:35455/rptv/GITV-JS-56.m3u8?license=gitv
精品综合,http://192.168.0.101:35455/rptv/GITV-JS-57.m3u8?license=gitv
爱情喜剧,http://192.168.0.101:35455/rptv/GITV-JS-58.m3u8?license=gitv
精品大剧,http://192.168.0.101:35455/rptv/GITV-JS-59.m3u8?license=gitv
中国功夫,http://192.168.0.101:35455/rptv/GITV-JS-60.m3u8?license=gitv
金牌综艺,http://192.168.0.101:35455/rptv/GITV-JS-61.m3u8?license=gitv
军事评论,http://192.168.0.101:35455/rptv/GITV-JS-62.m3u8?license=gitv
农业致富,http://192.168.0.101:35455/rptv/GITV-JS-63.m3u8?license=gitv
精品纪录,http://192.168.0.101:35455/rptv/GITV-JS-64.m3u8?license=gitv
精品体育,http://192.168.0.101:35455/rptv/GITV-JS-65.m3u8?license=gitv
潮妈辣婆,http://192.168.0.101:35455/rptv/GITV-JS-66.m3u8?license=gitv
健康生活,http://192.168.0.101:35455/rptv/GITV-JS-67.m3u8?license=gitv

天元围棋,http://192.168.0.101:35455/rptv/G_TIANYUANWQ.m3u8?license=gitv
篮球,http://192.168.0.101:35455/rptv/G_LANQIU.m3u8?license=gitv
老故事,http://192.168.0.101:35455/rptv/G_LAOGUSHI.m3u8?license=gitv
发现之旅,http://192.168.0.101:35455/rptv/G_FAXIANZL.m3u8?license=gitv

轮播,#genre#
流行音乐,http://192.168.0.101:35455/rptv/GITV-JS-5.m3u8?license=gitv
