Epg=1
央视频道,#genre#
山东卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8$name=IPV6$logo=https://live.fanmingming.com/tv/山东卫视.png$tvg=山东卫视
江西卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225492/index.m3u8?fmt=ts2hls$name=IPV4$logo=https://live.fanmingming.com/tv/江西卫视.png$tvg=江西卫视
江西卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8$name=IPV6$logo=https://live.fanmingming.com/tv/江西卫视.png$tvg=江西卫视
河北卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225610/index.m3u8?fmt=ts2hls$name=IPV4$logo=https://live.fanmingming.com/tv/河北卫视.png$tvg=河北卫视
河北卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8$name=IPV6$logo=https://live.fanmingming.com/tv/河北卫视.png$tvg=河北卫视
河南卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225611/index.m3u8?fmt=ts2hls$name=IPV4$logo=https://live.fanmingming.com/tv/河南卫视.png$tvg=河南卫视
河南卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8$name=IPV6$logo=https://live.fanmingming.com/tv/河南卫视.png$tvg=河南卫视
海南卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226212/index.m3u8?fmt=ts2hls$name=IPV4$logo=https://live.fanmingming.com/tv/海南卫视.png$tvg=海南卫视
海南卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8$name=IPV6$logo=https://live.fanmingming.com/tv/海南卫视.png$tvg=海南卫视
湖北卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225596/index.m3u8?fmt=ts2hls$name=IPV4$logo=https://live.fanmingming.com/tv/湖北卫视.png$tvg=湖北卫视
湖北卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8$name=IPV6$logo=https://live.fanmingming.com/tv/湖北卫视.png$tvg=湖北卫视
贵州卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225483/index.m3u8?fmt=ts2hls$name=IPV4$logo=https://live.fanmingming.com/tv/贵州卫视.png$tvg=贵州卫视
贵州卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8$name=IPV6$logo=https://live.fanmingming.com/tv/贵州卫视.png$tvg=贵州卫视
辽宁卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225601/index.m3u8?fmt=ts2hls$name=IPV4$logo=https://live.fanmingming.com/tv/辽宁卫视.png$tvg=辽宁卫视
辽宁卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8$name=IPV6$logo=https://live.fanmingming.com/tv/辽宁卫视.png$tvg=辽宁卫视
重庆卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225612/index.m3u8?fmt=ts2hls$name=IPV4$logo=https://live.fanmingming.com/tv/重庆卫视.png$tvg=重庆卫视
重庆卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8$name=IPV6$logo=https://live.fanmingming.com/tv/重庆卫视.png$tvg=重庆卫视
吉林卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225680/2/index.m3u8?fmt=ts2hls$name=IPV4$logo=https://live.fanmingming.com/tv/吉林卫视.png$tvg=吉林卫视
吉林卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8$name=IPV6$logo=https://live.fanmingming.com/tv/吉林卫视.png$tvg=吉林卫视
黑龙江卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225586/index.m3u8?fmt=ts2hls$name=IPV4$logo=https://live.fanmingming.com/tv/黑龙江卫视.png$tvg=黑龙江卫视
黑龙江卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8$name=IPV6$logo=https://live.fanmingming.com/tv/黑龙江卫视.png$tvg=黑龙江卫视
江西频道,#genre#
江西都市,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225584/index.m3u8?fmt=ts2hls$name=IPV4$logo=https://mirror.ghproxy.com/raw.githubusercontent.com/wanglindl/TVLogo/main/img/Jiangxi1.png$tvg=江西都市
江西经济生活,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226206/index.m3u8?fmt=ts2hls$name=IPV4$logo=https://mirror.ghproxy.com/raw.githubusercontent.com/wanglindl/TVLogo/main/img/Jiangxi2.png$tvg=江西经济生活
江西新闻,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225615/index.m3u8?fmt=ts2hls$name=IPV4$logo=https://mirror.ghproxy.com/raw.githubusercontent.com/wanglindl/TVLogo/main/img/Jiangxi6.png$tvg=江西新闻
江西少儿,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226194/index.m3u8?fmt=ts2hls$name=IPV4$logo=https://mirror.ghproxy.com/raw.githubusercontent.com/wanglindl/TVLogo/main/img/Jiangxi5.png$tvg=江西少儿
